numeroControlePncpCompra,codigoPaisFornecedor,dataAtualizacao,orgaoEntidade,dataAssinatura,dataVigenciaInicio,dataVigenciaFim,niFornecedor,tipoPessoa,processo,orgaoSubRogado,unidadeOrgao,unidadeSubRogada,nomeRazaoSocialFornecedor,informacaoComplementar,numeroContratoEmpenho,categoriaProcesso,anoContrato,tipoContrato,sequencialContrato,dataPublicacaoPncp,niFornecedorSubContratado,nomeFornecedorSubContratado,dataAtualizacaoGlobal,numeroControlePNCP,receita,numeroParcelas,numeroRetificacao,tipoPessoaSubContratada,objetoContrato,valorInicial,valorParcela,valorGlobal,valorAcumulado,identificadorCipi,urlCipi,usuarioNome
37115383000153-1-000144/2024,BRA,2025-02-28T07:30:31,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-02-25,2025-02-25,2026-02-25,19086382000146,PJ,48300.001990/2023-40,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,BARCELO EVENTOS LTDA,,00004,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",5,2025-02-26T10:02:43,,,2025-12-12T11:45:23,37115383000153-2-000005/2025,False,12,2,,"CONTRATAÇÃO DE SERVIÇOS DE NATUREZA CONTINUADA, SOB DEMANDA, VISANDO À REALIZAÇÃO DE EVENTOS, RECEPTIVOS INTERNOS E EXTERNOS E ATIVIDADES CORRELATAS AO MINISTÉRIO DE MINAS E ENERGIA - MME, ABRANGENDO PLANEJAMENTO OPERACIONAL, ORGANIZAÇÃO, EXECUÇÃO, ACOMPANHAMENTO, FORNECIMENTO DE ALIMENTAÇÃO E BEBIDA, INFRAESTRUTURA, TRANSPORTES, APOIO LOGÍSTICO, ORNAMENTAÇÃO, CONFECÇÃO, FORNECIMENTO DE MATERIAL DE PAPELARIA, PRESENTES PROTOCOLARES E IMPRESSOS EM GERAL, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE EDITAL E SEUS ANEXOS/APÊNDICES. EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS PARA DESENVOLVER EVENTOS QUE CUIDE DAS ETAPAS RELACIONADAS À ORGANIZAÇÃO, COORDENAÇÃO E ACOMPANHAMENTO, CONTEMPLANDO TODOS OS SERVIÇOS INDISPENSÁVEIS À EXECUÇÃO DOS EVENTOS INSTITUCIONAIS, ABRANGENDO DESDE O APOIO LOGÍSTICO, MONTAGEM, DESMONTAGEM E MANUTENÇÃO DE TODA ESTRUTURA DEMANDADA, NOS TERMOS DA TABELA ABAIXO, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.",6824238.0,568686.5,6824238.0,,,,Contratos.gov.br
37115383000153-1-000018/2025,BRA,2025-03-12T14:08:39,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-02-12,2025-02-13,2025-12-31,28438360000199,PJ,48340.000406/2025-24,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320005', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'COORD.GERAL DE RECURSOS HUMANOS/M.M.E', 'codigoIbge': '5300108'}",,INSTITUTO DE PROMOCAO DAS PESSOAS COM DEFICIENCIA VISUAL,,2025NE000027,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 7, 'nome': 'Empenho'}",9,2025-03-12T14:08:39,,,2025-12-01T14:59:24,37115383000153-2-000009/2025,False,1,0,,MASSAGEM EXPRESSA TERAPÊUTICA,27780.48,27780.48,27780.48,,,,Contratos.gov.br
37115383000153-1-000020/2025,BRA,2025-03-12T15:04:16,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-03-10,2025-03-11,2025-03-11,40013422000116,PJ,48340.000601/2025-54,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320005', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'COORD.GERAL DE RECURSOS HUMANOS/M.M.E', 'codigoIbge': '5300108'}",,SANT ANNA DESENVOLVIMENTO PROFISSIONAL LTDA,,2025NE000031,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 7, 'nome': 'Empenho'}",10,2025-03-12T15:04:16,,,2025-03-12T15:04:16,37115383000153-2-000010/2025,False,1,0,,PALESTRAS EM COMEMORAÇÃO AO DIA INTERNACIONAL DAS MULHERES: DIREITO DAS MULHERES NO BRASIL,21000.0,21000.0,21000.0,,,,Contratos.gov.br
37115383000153-1-000158/2024,BRA,2025-06-25T08:20:14,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-03-12,2025-03-26,2028-03-26,24921066000182,PJ,48340.002228/2024-95,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,SOLLO SERVICOS LTDA,,00007,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",11,2025-03-17T15:38:27,,,2025-06-25T08:21:19,37115383000153-2-000011/2025,False,36,2,,"CONTRATAÇÃO, EM GRUPO ÚNICO, DE SERVIÇOS CONTÍNUOS​ DE PREVENÇÃO E COMBATE A PRINCÍPIOS DE INCÊNDIOS E ACIDENTES, INCLUINDO FORNECIMENTO DE MATERIAL DE BRIGADA, SALVAMENTOS E PRIMEIROS SOCORROS, ABANDONO DE EDIFICAÇÃO E DESENVOLVIMENTO DE POLÍTICA PREVENCIONISTA DE SEGURANÇA CONTRA INCÊNDIO, EM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, A SEREM EXECUTADOS NAS DEPENDÊNCIAS DO MINISTÉRIO DE MINAS E ENERGIA (MME), EM BRASÍLIA-DF, NAS CONDIÇÕES  ESTABELECIDAS  NO TERMO DE REFERÊNCIA.",5471245.66,151979.0461,5471245.66,,,,Contratos.gov.br
37115383000153-1-000210/2024,BRA,2025-05-28T16:48:09,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-04-04,2025-04-11,2027-04-11,12531678000180,PJ,48340.005652/2024-91,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,GREEN HOUSE SERVICOS DE LOCACAO DE MAO DE OBRA LTDA,,00009,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",12,2025-04-04T16:21:30,,,2025-05-28T16:48:09,37115383000153-2-000012/2025,False,24,4,,"CONTRATAÇÃO, DE SERVIÇOS CONTINUADOS DE SECRETARIADO, COM DISPONIBILIZAÇÃO DE MÃO DE OBRA EM REGIME DE DEDICAÇÃO EXCLUSIVA, NAS CATEGORIAS PROFISSIONAIS DE SECRETÁRIA EXECUTIVA, TÉCNICO EM SECRETARIADO E ENCARREGADO GERAL, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL E SEUS ANEXOS.",8470124.88,352921.87,8470124.88,,,,Contratos.gov.br
37115383000153-1-000031/2025,BRA,2025-04-09T14:44:51,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-03-21,2025-03-21,2025-12-31,04451208000188,PJ,48340.001202/2025-19,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320005', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'COORD.GERAL DE RECURSOS HUMANOS/M.M.E', 'codigoIbge': '5300108'}",,COBUCCI DESENVOLVIMENTO HUMANO LTDA,,2025NE000033,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 7, 'nome': 'Empenho'}",13,2025-04-09T14:44:51,,,2025-04-09T14:44:51,37115383000153-2-000013/2025,False,1,0,,TREINAMENTO REDAÇÃO OFICIAL,16800.0,16800.0,16800.0,,,,Contratos.gov.br
37115383000153-1-000059/2025,BRA,2025-05-15T08:47:31,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-05-14,2025-05-14,2026-05-14,26404769000169,PJ,48340.001058/2025-11,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,EKSPERTIZA CONTABILIDADE E CALCULOS JUDICIAIS LTDA,,00011,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",15,2025-05-14T14:54:11,,,2025-05-15T08:47:31,37115383000153-2-000015/2025,False,1,0,,"CONTRATAÇÃO DE SERVIÇOS COMUNS DE EMPRESA ESPECIALIZADA EM ASSESSORIA CONTÁBIL, SOB DEMANDA, PARA APOIAR A COORDENAÇÃO-GERAL DE COMPRAS E CONTRATOS (CGCC) NA ANÁLISE CONTÁBIL DE DOCUMENTOS EM PROCESSOS LICITATÓRIOS, APURAÇÃO DE FRAUDES E IRREGULARIDADES, VERIFICAÇÃO DA CONFORMIDADE CONTÁBIL E REVISÃO/CONSTRUÇÃO DE CÁLCULOS EM PROCESSOS ADMINISTRATIVOS, CONTRATUAIS E DE GESTÃO. OS SERVIÇOS SERÃO PRESTADOS CONFORME A NECESSIDADE DO MINISTÉRIO DE MINAS E ENERGIA, LOCALIZADO NO BLOCO “U” DA ESPLANADA DOS MINISTÉRIOS, EM BRASÍLIA/DF, CONFORME CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NO TERMO DE REFERÊNCIA.",21000.0,21000.0,21000.0,,,,Contratos.gov.br
37115383000153-1-000055/2025,BRA,2025-05-14T14:54:30,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-04-17,2025-04-17,2025-12-31,29953305000108,PJ,48340.001820/2025-51,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320005', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'COORD.GERAL DE RECURSOS HUMANOS/M.M.E', 'codigoIbge': '5300108'}",,INSTITUTO DE GINECOLOGIA DR EVANDRO OLIVEIRA LTDA,,2025NE000037,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 7, 'nome': 'Empenho'}",16,2025-05-14T14:54:30,,,2025-05-16T10:22:15,37115383000153-2-000016/2025,False,1,0,,"PROJETO DIA DAS MÃES: PALESTRA: SAÚDE DA MULHER. A MULHER E SEUS HORMÔNIOS, NO DIA 08 DE MAIO 2025, DAS 10 ÀS 11:45HS, NO AUDITÓRIO LOCALIZADO NAS DEPENDÊNCIAS DO MME, PARA AS SERVIDORAS.",10000.0,10000.0,10000.0,,,,Contratos.gov.br
37115383000153-1-000028/2025,BRA,2025-05-15T08:57:29,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-05-12,2025-05-12,2026-05-12,14945616000140,PJ,48300.001611/2024-01,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,F A FERRARI DE SOUZA,,00010,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",14,2025-05-13T15:15:49,,,2025-05-29T13:36:00,37115383000153-2-000014/2025,False,1,0,,"CONTRATAÇÃO, EM GRUPO ÚNICO, DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE TRADUÇÃO E INTERPRETAÇÃO DE LÍNGUAS ESTRANGEIRAS, COM CESSÃO DE USO DE IMAGEM E VOZ, INCLUINDO LOCAÇÃO DE EQUIPAMENTOS E ACESSÓRIOS NECESSÁRIOS À EXECUÇÃO DOS SERVIÇOS, NOS IDIOMAS: RUSSO, MANDARIM, ITALIANO E ÁRABE NAS CONDIÇÕES  ESTABELECIDAS  NO TERMO DE REFERÊNCIA.",122500.0,122500.0,122500.0,,,,Contratos.gov.br
37115383000153-1-000047/2025,BRA,2025-05-19T10:37:01,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-04-15,2025-04-15,2025-05-15,54661568000182,PJ,48340.001679/2025-96,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320005', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'COORD.GERAL DE RECURSOS HUMANOS/M.M.E', 'codigoIbge': '5300108'}",,54.661.568 RUBIA DAIANA SILVA MANAZEK,,2025NE000035,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 7, 'nome': 'Empenho'}",17,2025-05-19T10:37:01,,,2025-05-19T10:44:49,37115383000153-2-000017/2025,False,1,0,,"SEMINÁRIO / PALESTRA PROJETO DIA DAS MÃES: 14.000,00
PROMOÇÃO DA IGUALDADE E QUALIDADE DE VIDA NO TRABALHO, NOS DIAS 08 E
15 DE MAIO 2025, NO AUDITÓRIO LOCALIZADO NAS DEPENDÊNCIAS DO MINISTÉRIO
DE MINAS E ENERGIA, PARA AS SERVIDORAS",14000.0,14000.0,14000.0,,,,Contratos.gov.br
37115383000153-1-000211/2024,BRA,2025-06-06T11:26:30,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-06-04,2025-06-04,2025-12-01,26574036000172,PJ,48340.003052/2024-99,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,W2MED SERVICOS MEDICOS LTDA,,00012,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",19,2025-06-05T11:20:41,,,2025-11-11T15:54:09,37115383000153-2-000019/2025,False,1,0,,"CONTRATAÇÃO DE SERVIÇOS COMUNS PARA REALIZAÇÃO DE EXAMES MÉDICOS PERIÓDICOS DOS SERVIDORES ATIVOS, REGIDOS PELA LEI Nº 8.112, DE 11 DE DEZEMBRO DE 1990, DOS SERVIDORES NOMEADOS EXCLUSIVAMENTE PARA O EXERCÍCIO DE CARGOS EM COMISSÃO, DOS EMPREGADOS PÚBLICOS ANISTIADOS QUE COMPÕEM O QUADRO ESPECIAL EM EXTINÇÃO, SOB O REGIME CELETISTA, DOS OCUPANTES DE CARGO DE NATUREZA ESPECIAL – NES, E DOS REQUISITADOS DE OUTROS ÓRGÃOS, EM EXERCÍCIO NESTE MINISTÉRIO DE MINAS E ENERGIA – MME, NUM QUANTITATIVO TOTAL APROXIMADO DE 360 (TREZENTOS E SESSENTA) SERVIDORES/EMPREGADOS PÚBLICOS ANISTIADOS, CONFORME CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NO TERMO DE REFERÊNCIA.",103286.0,103286.0,103286.0,,,,Contratos.gov.br
00489828000155-1-000110/2023,BRA,2025-08-29T11:23:40,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-06-18,2025-06-18,2026-06-18,04947601000167,PJ,48330.000200/2025-13,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,RESOURCE TECNOLOGIA E INFORMATICA LTDA.,,00013,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",20,2025-06-23T15:21:45,,,2025-08-29T13:43:34,37115383000153-2-000020/2025,False,1,0,,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM DESENVOLVIMENTO, MANUTENÇÃO E SUSTENTAÇÃO DE SOFTWARE, CONFORME CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.",5181156.48,5181156.48,5181156.48,,,,Contratos.gov.br
37115383000153-1-000070/2025,BRA,2025-06-03T12:10:33,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-05-15,2025-05-15,2025-12-31,54661568000182,PJ,48340.001304/2025-26,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320005', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'COORD.GERAL DE RECURSOS HUMANOS/M.M.E', 'codigoIbge': '5300108'}",,54.661.568 RUBIA DAIANA SILVA MANAZEK,,2025NE000041,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 7, 'nome': 'Empenho'}",18,2025-06-03T12:10:33,,,2025-06-03T12:26:14,37115383000153-2-000018/2025,False,1,0,,CURSO DE GESTÃO DE RISCOS NA INSTRUÇÃO PROCESSUAL,26700.0,26700.0,26700.0,,,,Contratos.gov.br
37115383000153-1-000087/2025,BRA,2025-11-14T14:32:54,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-07-04,2025-07-04,2026-07-04,82743287000104,PJ,48340.001539/2025-18,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,SCHNEIDER ELECTRIC BRASIL LTDA,,00015,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",21,2025-07-02T11:54:30,,,2025-11-14T14:34:02,37115383000153-2-000021/2025,False,1,2,,"CONTRATAÇÃO DA EMPRESA SCHNEIDER ELECTRIC BRASIL LTDA PARA AQUISIÇÃO DE MATERIAIS, INCLUINDO INSTALAÇÃO, DESTINADOS À REVITALIZAÇÃO DO ""NO-BREAK"" - SISTEMA ININTERRUPTO DE ENERGIA (UPS) DA MARCA APC, MODELO SYMMETRA PX, SÉRIE QD1615122063, INSTALADO NO MINISTÉRIO DE MINAS E ENERGIA, POR INEXIGIBILIDADE DE LICITAÇÃO, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.",515504.29,515504.29,515504.29,,,,Contratos.gov.br
37115383000153-1-000076/2025,USA,2025-07-09T17:14:36,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-05-28,2025-05-28,2025-12-31,EX3200171,PE,48380.000051/2025-05,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320017', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'SEC. DE PETROLEO,GAS NATURAL E COMBUS. RENOV.', 'codigoIbge': '5300108'}",,S&P GLOBAL,,2025NE000005,"{'id': 4, 'nome': 'Internacional'}",2025,"{'id': 7, 'nome': 'Empenho'}",22,2025-07-09T17:14:36,,,2025-07-09T17:14:36,37115383000153-2-000022/2025,False,1,0,,"SERVIÇO DE FORNECIMENTO DE INFORMAÇÕES PERIÓDICAS SOBRE PREÇOS DE COMBUSTÍVEIS, DE BIOCOMBUSTÍVEIS, DE PETRÓLEO, DE GÁS NATURAL, DE METAIS, DE FERTILIZANTES E DE COMMODITIES, BEM COMO DE FORNECIMENTO DE RELATÓRIOS DE ACOMPANHAMENTO SOBRE TEMAS QUE POSSAM IMPACTAR NA OFERTA E NA DEMANDA GLOBAL DE COMBUSTÍVEIS E BIOCOMBUSTÍVEIS.",40000.0,40000.0,40000.0,,,,Contratos.gov.br
37115383000153-1-000045/2025,BRA,2025-07-16T11:36:17,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-06-02,2025-06-02,2025-12-31,20320503000151,PJ,48300.000287/2025-86,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320005', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'COORD.GERAL DE RECURSOS HUMANOS/M.M.E', 'codigoIbge': '5300108'}",,FUNDACAO ARTHUR BERNARDES,,2025NE000034,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 7, 'nome': 'Empenho'}",23,2025-07-16T11:36:17,,,2025-07-16T11:39:57,37115383000153-2-000023/2025,False,1,0,,XVI CURSO PROJETO DE ANÁLISE DE EQUILÍBRIO GERAL DA ECONOMIAVBRASILEIRA - PAEG,2000.0,2000.0,2000.0,,,,Contratos.gov.br
37115383000153-1-000074/2025,BRA,2025-07-22T09:09:08,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-07-16,2025-07-24,2026-07-24,01099686000182,PJ,48340.000594/2025-91,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,ESPLANADA SERVICOS TERCEIRIZADOS LTDA,,00017,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",24,2025-07-17T11:10:29,,,2025-07-22T09:09:08,37115383000153-2-000024/2025,False,12,0,,"CONTRATAÇÃO DE SERVIÇOS DE FORMA CONTÍNUA, DE ASSISTENTE TÉCNICO ADMINISTRATIVO (APOIO) - NÍVEL SUPERIOR E ENCARREGADO-GERAL, COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, A SEREM EXECUTADOS NAS DEPENDÊNCIAS DO MINISTÉRIO DE MINAS E ENERGIA (MME), EM BRASÍLIA-DF, CONFORME CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NESTE EDITAL E SEUS ANEXOS.",5245839.72,437153.31,5245839.72,,,,Contratos.gov.br
37115383000153-1-000092/2025,BRA,2025-08-19T10:35:53,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-08-08,2025-08-08,2027-08-08,37287521000181,PJ,48340.001340/2025-90,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,ABRIL TOUR VIAGENS E TURISMO LTDA,,00018,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 1, 'nome': 'Contrato (termo inicial)'}",25,2025-08-11T14:51:37,,,2025-08-19T10:35:53,37115383000153-2-000025/2025,False,1,6,,"CONTRATAÇÃO DE SERVIÇOS COMUNS DE LOCAÇÃO DE VEÍCULOS POR DIÁRIAS, NO ÂMBITO DE TODA REGIÃO CENTRO OESTE E NORDESTE DO PAÍS, DOS TIPOS AUTOMÓVEL SEDÃ E AUTOMÓVEL/UTILITÁRIO SUV, COM MOTORISTA, PARA TRANSPORTE DE AUTORIDADES EM SERVIÇO, SOB DEMANDA, INCLUINDO DESPESAS COM COMBUSTÍVEL, MANUTENÇÃO, SEGURO TOTAL (SEM FRANQUIA), PESSOAL, DIÁRIAS, PEDÁGIOS, ESTACIONAMENTOS E DEMAIS CUSTOS INERENTES QUE INCIDEM SOBRE OS VEÍCULOS, POR ITEM PARA ATENDER AS NECESSIDADES DO MINISTÉRIO DE MINAS E ENERGIA – MME, CONFORME CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NO TERMO DE REFERÊNCIA (GRUPO 1 - REGIÃO CENTRO OESTE).",818640.0,818640.0,818640.0,,,,Contratos.gov.br
37115383000153-1-000079/2025,BRA,2025-08-14T13:41:51,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-06-16,2025-06-16,2025-12-31,01407871000197,PJ,48340.002219/2025-85,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320004', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF', 'codigoIbge': '5300108'}",,SERRANA GRAFICA E EDITORA LTDA,,2025NE000132,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 7, 'nome': 'Empenho'}",26,2025-08-14T13:41:51,,,2025-08-14T13:41:51,37115383000153-2-000026/2025,False,1,0,,"SERVIÇOS DE GRÁFICA RÁPIDA, PARA IMPRESSÃO DE 1.000 (MIL) EXEMPLARES DE LIVRO INSTITUCIONAL",39400.0,39400.0,39400.0,,,,Contratos.gov.br
37115383000153-1-000090/2025,BRA,2025-08-14T16:05:48,"{'cnpj': '37115383000153', 'razaoSocial': 'MINISTERIO DE MINAS E ENERGIA', 'poderId': 'E', 'esferaId': 'F'}",2025-06-27,2025-06-27,2025-08-11,08323135000108,PJ,48340.003179/2025-71,,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '320005', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'nomeUnidade': 'COORD.GERAL DE RECURSOS HUMANOS/M.M.E', 'codigoIbge': '5300108'}",,G7 PRODUCOES ARTISTICAS LTDA,,2025NE000043,"{'id': 8, 'nome': 'Serviços'}",2025,"{'id': 7, 'nome': 'Empenho'}",27,2025-08-14T16:05:48,,,2025-08-14T16:08:56,37115383000153-2-000027/2025,False,1,0,,"CONTRATAÇÃO DA EMPRESA G7 PRODUCOES ARTISTICAS LTDA PARA A REALIZAÇÃO DE UM ESPETÁCULO TEATRAL ALUSIVO AO DIA DOS PAIS; VISANDO HOMENAGEAR OS PAIS, SERVIDORES DO MINISTÉRIO DE MINAS E ENERGIA; BEM COMO PROMOVER A VALORIZAÇÃO E O RECONHECIMENTO DESSES SERVIDORES, COM FOCO NO FORTALECIMENTO DO ESPÍRITO DE EQUIPE POR MEIO DE MOMENTOS DE DESCONTRAÇÃO.",22000.0,22000.0,22000.0,,,,Contratos.gov.br
